label,scale,idx,group,energy
Ammonia dimer,1,1,E,-3.17
Water dimer,1,2,E,-5.02
Formic acid dimer,1,3,E,-18.61
Formamide dimer,1,4,E,-15.96
Uracil dimer h-bonded,1,5,E,-20.47
2-pyridoxine 2-aminopyridine complex,1,6,E,-16.71
Adenine thymine Watson-Crick complex,1,7,E,-16.37
Methane dimer,1,8,D,-0.53
Ethene dimer,1,9,D,-1.51
Benzene - Methane complex,1,10,D,-1.5
Benzene dimer parallel displaced,1,11,D,-2.73
Pyrazine dimer,1,12,D,-4.42
Uracil dimer stack,1,13,D,-9.88
Indole benzene complex stack,1,14,D,-5.22
Adenine thymine complex stack,1,15,M,-12.23
Ethene ethyne complex,1,16,M,-1.53
Benzene water complex,1,17,M,-3.28
Benzene ammonia complex,1,18,M,-2.35
Benzene HCN complex,1,19,M,-4.46
Benzene dimer T-shaped,1,20,M,-2.74
Indole benzene T-shape complex,1,21,M,-5.73
Phenol dimer,1,22,M,-7.05
